nutzer_id,beitrag_id
0,291
0,657
0,353
0,814
0,1096
0,342
0,1042
0,433
0,44
0,65
1,1088
1,751
1,501
1,281
1,1397
1,924
2,841
2,721
2,1192
2,745
2,1284
2,449
2,454
2,198
2,242
2,206
2,877
2,68
2,1106
2,1522
2,472
3,1055
3,1189
3,1222
3,1172
3,562
3,1358
3,148
3,203
4,523
5,1255
5,1330
5,1182
5,778
5,882
5,438
5,1027
5,777
5,172
5,127
5,61
5,577
5,776
5,219
6,1488
6,1446
6,555
6,671
6,81
6,810
6,468
6,1126
6,239
6,1427
6,685
6,1519
6,323
6,557
6,1146
7,586
8,1256
8,1422
8,359
8,1253
8,625
8,980
8,1265
9,34
9,912
9,1532
9,1375
9,455
9,384
9,227
9,790
9,890
9,1294
9,49
9,1032
10,420
10,1244
10,697
10,399
10,9
10,1113
10,966
10,19
10,730
11,470
11,139
11,1360
11,331
11,1184
11,1291
11,241
11,301
11,1467
11,98
11,859
11,932
11,575
12,1548
13,414
14,771
14,937
14,669
14,976
14,1206
14,1052
14,1204
14,899
14,1446
14,1046
14,995
14,1514
14,1311
14,481
14,811
14,1392
14,965
14,519
14,424
14,1488
15,272
15,473
15,1193
15,670
15,89
15,1374
15,1043
15,1154
15,609
15,916
15,75
15,963
15,992
15,987
15,1213
15,1459
16,1131
16,644
16,1020
16,463
16,1400
16,458
16,168
16,1124
16,1498
16,1026
16,699
17,1437
17,1342
17,513
17,1066
17,1320
17,1076
17,990
17,761
17,159
17,858
17,1181
17,1526
18,1453
18,1159
18,606
18,149
18,435
18,691
18,647
18,839
18,167
18,1215
18,1373
18,1084
18,236
18,0
18,841
18,508
19,238
19,80
19,189
19,89
20,1526
20,1250
20,583
20,1109
20,166
20,238
20,786
20,1225
20,457
20,1181
20,528
20,1347
20,1387
20,1293
20,716
20,629
20,791
21,925
21,952
21,174
22,51
22,1402
22,659
22,1156
22,1145
22,282
22,1240
22,1105
22,541
22,1534
22,981
23,70
23,1507
23,1081
23,1149
23,1127
23,1348
23,152
23,512
23,793
23,1365
23,1505
23,237
23,674
23,1153
24,1011
24,520
24,246
24,1437
24,1086
24,1118
24,511
25,482
26,202
26,281
26,620
26,1538
26,1028
27,1195
27,79
27,1084
27,1029
27,90
27,1365
27,912
27,368
27,735
27,260
27,917
28,380
28,494
28,882
28,330
28,745
28,1511
28,1361
28,81
28,1404
28,1291
28,567
29,154
29,1239
29,98
29,475
29,1307
29,699
29,444
29,1506
29,230
29,434
30,1514
30,1352
30,1165
30,410
30,974
30,947
30,58
30,414
31,484
31,1262
31,668
31,996
31,729
31,774
31,154
31,555
31,139
31,1422
31,934
31,519
31,1540
31,1093
31,311
31,571
31,1103
31,497
32,199
32,1236
32,470
32,117
33,115
33,1182
33,915
33,607
33,1247
33,1155
33,497
33,1273
33,1490
33,920
33,1454
33,895
33,612
33,190
34,105
34,341
34,1150
34,841
34,77
34,857
34,606
34,793
34,252
34,1270
34,1509
34,1417
34,987
34,198
34,946
34,1485
34,875
34,746
35,998
35,332
35,343
35,1144
35,688
35,726
35,1096
35,25
35,534
35,258
35,1294
35,91
36,505
36,518
36,1413
36,1064
36,1145
36,1093
37,161
37,964
37,281
37,1527
37,163
37,1147
37,179
38,619
38,1540
38,656
38,959
38,1200
39,1406
39,799
39,510
39,1431
39,1245
39,857
39,1058
39,1182
39,290
39,896
39,1042
39,831
39,1495
39,690
39,1499
39,96
40,1074
40,1140
40,312
40,1514
40,706
40,1489
40,160
40,238
40,494
40,1258
41,560
41,1462
41,245
41,654
41,369
41,778
41,620
41,1030
41,1268
41,990
41,728
41,1431
41,1230
41,642
41,196
42,276
42,512
42,571
42,113
42,1206
42,1427
42,1255
42,570
42,314
42,559
42,873
42,600
42,729
42,996
43,1434
43,122
43,426
43,91
43,463
43,59
43,660
43,330
43,1022
43,1550
43,1129
43,1162
43,1242
43,196
43,313
43,272
43,874
44,711
44,1420
44,936
44,716
44,1523
45,1469
45,406
45,1217
45,1361
45,804
45,892
45,501
45,475
45,210
45,327
46,1167
46,1133
46,535
46,1172
46,894
46,1334
46,213
46,1531
46,924
46,106
46,11
46,956
46,615
46,207
46,768
46,597
46,343
46,1471
46,1552
47,1173
47,176
47,1154
47,458
47,1295
47,44
47,38
47,507
47,799
47,36
47,242
47,1475
47,282
47,1097
47,705
47,1138
47,1048
47,34
48,643
48,776
48,535
48,490
48,1515
48,160
48,83
48,121
48,1286
48,578
48,1195
48,255
48,718
48,859
48,1220
48,570
48,1105
49,1367
49,1516
49,1067
49,202
49,192
49,1232
49,1392
49,964
49,275
49,624
49,773
49,358
49,399
49,129
50,379
51,1004
51,1012
51,837
51,153
51,1476
51,1497
51,697
51,1273
51,1055
51,506
52,1293
52,640
52,1216
52,973
53,1340
53,1349
53,670
53,1245
53,1486
53,34
53,1041
53,1514
53,1233
53,1172
53,1523
53,1499
53,1347
53,458
54,1142
54,657
54,1065
54,824
54,694
54,421
54,213
54,711
54,904
54,1342
54,1437
54,571
54,828
54,1403
54,406
54,985
54,77
54,1205
54,533
55,543
55,364
55,76
55,448
55,665
55,318
55,769
55,215
55,786
55,983
56,204
56,223
56,1112
56,1467
56,751
56,1243
56,238
56,509
56,495
56,1271
56,788
56,1168
57,738
57,416
57,1404
57,1133
57,149
57,1249
57,1449
57,18
57,1219
57,1005
58,622
58,333
58,300
58,1229
58,1185
58,290
58,1139
59,1127
59,637
59,1545
59,1100
59,80
59,37
59,242
59,1038
59,725
59,273
59,782
59,508
59,672
59,1162
60,1229
60,793
60,75
60,1300
60,1324
60,1276
60,88
60,1072
60,682
60,1211
60,159
61,38
61,1391
61,855
61,478
61,1454
61,586
61,1188
61,825
61,452
61,1428
61,808
61,1280
61,940
62,269
63,532
63,1334
63,1171
63,752
63,1378
63,870
63,1362
63,142
63,847
63,213
63,644
64,973
64,412
64,744
64,1218
64,825
64,1458
64,607
64,1347
64,923
64,103
64,324
64,1532
64,119
64,1081
65,271
65,1527
65,647
65,282
65,1542
65,241
65,1025
65,1388
65,941
65,1035
65,755
66,931
66,142
67,436
67,1527
67,1083
67,112
67,1284
67,605
67,968
67,1390
68,737
68,443
68,1457
68,348
68,1246
69,1119
69,1131
69,373
69,47
69,282
69,887
69,390
69,1177
69,998
70,1084
70,481
70,1504
70,428
70,756
71,77
71,910
71,11
71,1041
71,930
71,120
71,287
71,1484
72,10
72,384
72,1430
72,242
72,177
72,773
72,451
72,392
72,647
72,1549
72,533
73,1163
73,188
73,428
73,901
73,817
73,1299
73,1534
73,283
73,84
73,121
73,156
73,365
73,160
73,1370
73,475
73,364
73,868
73,627
73,305
74,484
74,487
74,59
74,1136
74,281
74,1076
75,747
75,389
75,835
75,1031
75,998
75,470
75,1053
75,926
75,1463
75,1061
76,157
76,512
76,1184
76,1300
76,1225
76,220
76,465
76,1258
76,760
76,763
76,496
76,610
76,438
76,1402
76,473
76,730
76,832
76,761
77,461
77,860
77,835
78,1086
78,796
78,956
78,47
79,1158
79,775
80,32
80,1514
80,1090
80,1054
80,1061
80,418
80,268
80,1527
80,1355
81,727
81,637
82,1540
82,660
82,774
82,346
82,563
82,876
82,1434
82,665
83,815
83,1001
83,682
83,866
83,1066
83,1017
83,264
83,897
83,39
83,315
83,741
83,1255
83,773
83,898
83,105
83,419
83,97
83,126
84,193
84,805
