nutzer_id,alter,geschlecht,region,politische_haltung,gewaehlte_partei,wahlfrequenz,wichtigstes_wahlthema,vertrauensmedien,politisches_engagement,parteimitglied,jahr_letzte_wahl,uebereinstimmung_regierung,interessen
0,70,divers,Sachsen,progressiv,SPD,immer,Migration,Facebook-Gruppen,5,False,2017.0,0.13,"Klima, Bildung, Wirtschaft"
1,44,divers,Berlin,konservativ,Die Linke,nie,Sicherheit,YouTube,1,True,2024.0,0.17,"Musik, Klima, Sport"
2,34,weiblich,Hessen,zentristisch,SPD,immer,Steuern,FAZ,3,False,2024.0,0.0,"Klima, Wirtschaft, Essen"
3,42,männlich,Berlin,zentristisch,Die Linke,immer,Migration,FAZ,7,False,2021.0,0.92,"Klima, Politik, Musik"
4,51,weiblich,Bayern,liberal,AfD,gelegentlich,Migration,Spiegel,6,False,2024.0,0.26,"Politik, Sport, Klima"
5,49,weiblich,Hessen,zentristisch,CDU,immer,Bildung,Telegram,3,True,2017.0,0.89,"Politik, Klima, Bildung"
6,48,weiblich,Berlin,zentristisch,FDP,immer,Klima,YouTube,6,False,,0.03,"Technologie, Essen, Bildung"
7,46,divers,Bayern,konservativ,Die Linke,immer,Migration,FAZ,0,False,2017.0,0.95,"Reisen, Wirtschaft, Essen"
8,49,weiblich,Hessen,konservativ,AfD,immer,Klima,Tagesschau,8,False,,0.57,"Essen, Sport, Musik"
9,73,weiblich,Hessen,konservativ,CDU,immer,Migration,Tagesschau,5,False,2021.0,0.31,"Sport, Wirtschaft, Technologie"
10,51,divers,Bayern,konservativ,AfD,immer,Klima,Facebook-Gruppen,8,False,2021.0,0.96,"Politik, Musik, Bildung"
11,58,divers,Hamburg,zentristisch,CDU,nie,Bildung,Spiegel,1,True,2017.0,0.67,"Bildung, Essen, Reisen"
12,67,weiblich,Bayern,zentristisch,Grüne,immer,Klima,TikTok,10,False,2017.0,0.15,"Sport, Politik, Bildung"
13,71,divers,NRW,konservativ,FDP,gelegentlich,Gesundheit,Telegram,8,True,2017.0,0.73,"Wirtschaft, Musik, Bildung"
14,57,männlich,Sachsen,liberal,CDU,gelegentlich,Steuern,TikTok,2,False,2021.0,0.36,"Technologie, Essen, Bildung"
15,20,divers,NRW,progressiv,SPD,gelegentlich,Steuern,Tagesschau,3,False,,0.81,"Bildung, Musik, Politik"
16,43,weiblich,Hessen,zentristisch,Grüne,nie,Steuern,Telegram,4,False,2021.0,0.54,"Reisen, Technologie, Essen"
17,65,divers,Berlin,liberal,Grüne,immer,Bildung,TikTok,10,True,2024.0,0.08,"Musik, Reisen, Sport"
18,27,weiblich,Bayern,zentristisch,SPD,immer,Migration,TikTok,2,False,2017.0,0.1,"Klima, Politik, Technologie"
19,24,divers,Bayern,progressiv,SPD,gelegentlich,Steuern,Facebook-Gruppen,0,False,2024.0,0.59,"Politik, Musik, Reisen"
