nutzer_id,alter,geschlecht,region,politische_haltung,gewaehlte_partei,wahlfrequenz,wichtigstes_wahlthema,vertrauensmedien,politisches_engagement,parteimitglied,uebereinstimmung_regierung,interessen,gewaehlte_partei_neu
0,70,männlich,Sachsen,progressiv,SPD,immer,Migration,Facebook-Gruppen,5,False,0.13,"Klima, Bildung, Wirtschaft",SPD
1,44,weiblich,Berlin,konservativ,,nie,Sicherheit,YouTube,1,True,0.17,"Musik, Klima, Sport",CDU
2,34,weiblich,Hessen,zentristisch,CDU,immer,Steuern,FAZ,3,False,0.0,"Klima, Wirtschaft, Essen",CDU
3,42,männlich,Berlin,zentristisch,AfD,immer,Migration,FAZ,7,False,0.92,"Klima, Politik, Musik",SPD
4,51,weiblich,Bayern,liberal,CDU,gelegentlich,Migration,Spiegel,6,False,0.26,"Politik, Sport, Klima",SPD
5,49,weiblich,Hessen,zentristisch,,nie,Bildung,Telegram,3,True,0.89,"Politik, Klima, Bildung",FDP
6,48,weiblich,Berlin,zentristisch,,nie,Klima,YouTube,6,False,0.03,"Technologie, Essen, Bildung",CDU
7,46,männlich,Bayern,konservativ,SPD,immer,Migration,FAZ,0,False,0.95,"Reisen, Wirtschaft, Essen",AfD
8,49,weiblich,Hessen,konservativ,SPD,immer,Klima,Tagesschau,8,False,0.57,"Essen, Sport, Musik",CDU
9,73,weiblich,Hessen,konservativ,FDP,immer,Migration,Tagesschau,5,False,0.31,"Sport, Wirtschaft, Technologie",AfD
10,51,männlich,Bayern,konservativ,,nie,Klima,Facebook-Gruppen,8,False,0.96,"Politik, Musik, Bildung",AfD
11,58,männlich,Hamburg,zentristisch,,nie,Bildung,Spiegel,1,True,0.67,"Bildung, Essen, Reisen",SPD
12,67,weiblich,Bayern,zentristisch,SPD,immer,Klima,TikTok,10,False,0.15,"Sport, Politik, Bildung",SPD
13,71,weiblich,NRW,konservativ,Grüne,gelegentlich,Gesundheit,Telegram,8,True,0.73,"Wirtschaft, Musik, Bildung",AfD
14,57,männlich,Sachsen,liberal,,nie,Steuern,TikTok,2,False,0.36,"Technologie, Essen, Bildung",SPD
15,20,männlich,NRW,progressiv,,nie,Steuern,Tagesschau,3,False,0.81,"Bildung, Musik, Politik",Linke
16,43,weiblich,Hessen,zentristisch,,nie,Steuern,Telegram,4,False,0.54,"Reisen, Technologie, Essen",CDU
17,65,männlich,Berlin,liberal,SPD,immer,Bildung,TikTok,10,True,0.08,"Musik, Reisen, Sport",Grüne
18,27,weiblich,Bayern,zentristisch,CDU,immer,Migration,TikTok,2,False,0.1,"Klima, Politik, Technologie",FDP
19,24,männlich,Bayern,progressiv,,nie,Steuern,Facebook-Gruppen,0,False,0.59,"Politik, Musik, Reisen",Grüne
20,70,weiblich,Hessen,liberal,SPD,gelegentlich,Bildung,Tagesschau,5,False,0.66,"Sport, Wirtschaft, Klima",FDP
21,44,weiblich,Hamburg,zentristisch,,nie,Klima,Spiegel,4,False,0.97,"Technologie, Essen, Reisen",FDP
22,35,männlich,Bayern,konservativ,CDU,gelegentlich,Klima,TikTok,8,True,0.45,"Reisen, Bildung, Essen",CDU
23,24,männlich,Hamburg,zentristisch,,nie,Sicherheit,Telegram,4,True,0.11,"Wirtschaft, Politik, Essen",CDU
24,75,weiblich,Berlin,konservativ,CDU,immer,Steuern,TikTok,4,True,1.0,"Politik, Sport, Technologie",CDU
25,29,männlich,Sachsen,liberal,SPD,immer,Sicherheit,TikTok,0,True,0.04,"Musik, Essen, Klima",SPD
26,45,weiblich,Hessen,liberal,CDU,gelegentlich,Steuern,TikTok,4,True,0.07,"Wirtschaft, Musik, Essen",Grüne
27,49,weiblich,Berlin,liberal,SPD,immer,Steuern,Telegram,3,False,0.17,"Wirtschaft, Bildung, Essen",Grüne
28,43,männlich,Hamburg,liberal,Die Linke,gelegentlich,Sicherheit,TikTok,9,False,0.5,"Technologie, Politik, Reisen",Grüne
29,49,weiblich,Bayern,zentristisch,,nie,Gesundheit,Spiegel,10,True,0.9,"Politik, Musik, Technologie",CDU
30,32,männlich,Hamburg,liberal,FDP,gelegentlich,Klima,FAZ,10,True,0.47,"Reisen, Technologie, Wirtschaft",SPD
31,30,männlich,Hessen,zentristisch,,nie,Gesundheit,Spiegel,4,True,0.47,"Politik, Reisen, Sport",FDP
32,49,männlich,NRW,konservativ,,nie,Bildung,Tagesschau,4,True,0.44,"Bildung, Musik, Wirtschaft",FDP
33,22,weiblich,Sachsen,zentristisch,,nie,Gesundheit,Tagesschau,3,True,0.34,"Reisen, Musik, Politik",FDP
34,67,männlich,NRW,progressiv,SPD,gelegentlich,Steuern,TikTok,10,True,0.07,"Musik, Politik, Sport",SPD
35,18,männlich,Berlin,konservativ,FDP,gelegentlich,Sicherheit,Telegram,4,False,0.47,"Reisen, Sport, Politik",CDU
36,41,weiblich,Hessen,konservativ,CDU,gelegentlich,Migration,Facebook-Gruppen,7,False,0.24,"Reisen, Essen, Politik",AfD
37,66,männlich,Hamburg,zentristisch,AfD,immer,Migration,TikTok,9,False,0.52,"Musik, Essen, Reisen",FDP
38,57,weiblich,Hamburg,zentristisch,,nie,Migration,TikTok,10,False,0.41,"Technologie, Wirtschaft, Essen",CDU
39,32,männlich,Sachsen,konservativ,,nie,Sicherheit,Facebook-Gruppen,0,False,0.29,"Politik, Klima, Bildung",AfD
40,32,weiblich,Hamburg,zentristisch,,nie,Klima,Spiegel,4,False,0.71,"Sport, Bildung, Wirtschaft",FDP
41,54,weiblich,NRW,progressiv,CDU,immer,Sicherheit,Spiegel,2,False,0.3,"Wirtschaft, Klima, Technologie",Linke
42,65,männlich,Berlin,konservativ,,nie,Sicherheit,FAZ,3,True,0.65,"Reisen, Musik, Klima",AfD
43,31,weiblich,NRW,liberal,CDU,immer,Klima,Telegram,0,True,0.84,"Reisen, Sport, Technologie",Grüne
44,32,weiblich,Sachsen,liberal,,nie,Gesundheit,Spiegel,10,False,0.69,"Technologie, Klima, Politik",Grüne
45,60,männlich,Hessen,konservativ,CDU,immer,Gesundheit,TikTok,7,True,0.06,"Essen, Musik, Technologie",FDP
46,30,weiblich,Berlin,konservativ,AfD,immer,Klima,FAZ,6,False,0.15,"Reisen, Wirtschaft, Politik",FDP
47,34,weiblich,NRW,zentristisch,,nie,Migration,FAZ,0,True,0.76,"Reisen, Musik, Essen",FDP
48,58,männlich,Hessen,progressiv,CDU,immer,Gesundheit,YouTube,3,True,0.71,"Wirtschaft, Musik, Klima",SPD
49,50,männlich,Hamburg,konservativ,SPD,gelegentlich,Gesundheit,Facebook-Gruppen,3,True,0.57,"Reisen, Sport, Musik",FDP
50,20,weiblich,Sachsen,zentristisch,CSU,immer,Migration,FAZ,4,False,0.43,"Technologie, Klima, Reisen",CDU
51,35,weiblich,Bayern,progressiv,CDU,gelegentlich,Gesundheit,Tagesschau,1,True,0.71,"Technologie, Bildung, Wirtschaft",Grüne
52,39,männlich,Hessen,konservativ,SPD,immer,Steuern,Telegram,5,True,0.57,"Reisen, Essen, Klima",AfD
53,40,weiblich,Berlin,konservativ,CDU,gelegentlich,Klima,Spiegel,10,True,0.82,"Reisen, Klima, Wirtschaft",AfD
54,63,weiblich,Sachsen,progressiv,CDU,gelegentlich,Migration,Facebook-Gruppen,5,False,0.55,"Technologie, Bildung, Wirtschaft",SPD
55,75,weiblich,Bayern,liberal,SPD,gelegentlich,Steuern,YouTube,5,False,0.04,"Wirtschaft, Politik, Essen",FDP
56,63,weiblich,Hessen,progressiv,,nie,Gesundheit,TikTok,3,True,0.39,"Sport, Essen, Wirtschaft",Grüne
57,26,weiblich,Bayern,progressiv,,nie,Migration,Spiegel,7,True,0.07,"Bildung, Wirtschaft, Politik",Grüne
58,37,weiblich,Hessen,konservativ,,nie,Bildung,FAZ,9,True,0.78,"Technologie, Essen, Wirtschaft",FDP
59,63,weiblich,NRW,konservativ,SPD,immer,Steuern,Tagesschau,6,True,0.26,"Politik, Bildung, Sport",CDU
60,54,weiblich,Hamburg,progressiv,FDP,immer,Bildung,TikTok,2,False,0.83,"Wirtschaft, Politik, Musik",SPD
61,44,männlich,Hamburg,konservativ,AfD,gelegentlich,Steuern,FAZ,3,False,0.05,"Reisen, Klima, Bildung",AfD
62,71,männlich,Hessen,progressiv,Grüne,immer,Klima,YouTube,2,True,0.61,"Musik, Bildung, Technologie",SPD
63,64,weiblich,NRW,zentristisch,CDU,immer,Klima,Facebook-Gruppen,9,True,0.05,"Klima, Politik, Musik",CDU
64,22,männlich,NRW,konservativ,,nie,Sicherheit,Telegram,2,False,0.07,"Wirtschaft, Bildung, Technologie",CDU
65,19,weiblich,Hessen,zentristisch,SPD,immer,Bildung,Spiegel,5,True,0.51,"Sport, Klima, Reisen",SPD
66,30,weiblich,Hessen,progressiv,,nie,Migration,FAZ,3,False,0.37,"Musik, Bildung, Wirtschaft",SPD
67,41,männlich,Hessen,konservativ,Grüne,gelegentlich,Gesundheit,Telegram,4,False,0.69,"Wirtschaft, Sport, Politik",CDU
68,60,weiblich,Hessen,zentristisch,,nie,Bildung,Telegram,4,False,0.89,"Klima, Reisen, Musik",FDP
69,57,weiblich,NRW,konservativ,FDP,gelegentlich,Bildung,TikTok,6,False,0.43,"Musik, Technologie, Sport",CDU
70,36,weiblich,Hessen,konservativ,CDU,immer,Gesundheit,FAZ,10,False,0.67,"Essen, Politik, Sport",FDP
71,69,männlich,NRW,progressiv,FDP,gelegentlich,Migration,Spiegel,5,False,0.76,"Wirtschaft, Politik, Musik",Linke
72,31,weiblich,Bayern,liberal,,nie,Steuern,FAZ,2,True,0.31,"Klima, Musik, Technologie",SPD
73,53,männlich,Hamburg,progressiv,CSU,immer,Gesundheit,Telegram,10,False,0.6,"Klima, Essen, Technologie",Linke
74,39,weiblich,Hessen,zentristisch,AfD,immer,Gesundheit,Tagesschau,1,False,0.9,"Musik, Reisen, Politik",FDP
75,32,männlich,NRW,konservativ,SPD,gelegentlich,Sicherheit,YouTube,10,False,0.29,"Reisen, Technologie, Essen",AfD
76,33,männlich,Hamburg,zentristisch,CSU,gelegentlich,Klima,FAZ,2,True,0.13,"Bildung, Essen, Politik",FDP
77,40,weiblich,Berlin,konservativ,FDP,immer,Gesundheit,Tagesschau,7,False,0.75,"Politik, Sport, Reisen",AfD
78,41,männlich,Hamburg,konservativ,CSU,gelegentlich,Klima,FAZ,7,True,0.39,"Technologie, Musik, Essen",AfD
79,26,männlich,Sachsen,progressiv,,nie,Gesundheit,Tagesschau,0,False,0.86,"Bildung, Wirtschaft, Reisen",Linke
80,55,männlich,Sachsen,liberal,Grüne,immer,Steuern,FAZ,6,True,0.88,"Klima, Sport, Bildung",SPD
81,26,weiblich,Bayern,zentristisch,Die Linke,immer,Bildung,Telegram,8,False,0.63,"Technologie, Reisen, Wirtschaft",FDP
82,40,weiblich,Berlin,progressiv,Grüne,immer,Gesundheit,Telegram,4,True,0.29,"Technologie, Wirtschaft, Klima",Grüne
83,22,weiblich,Bayern,zentristisch,,nie,Migration,TikTok,5,True,0.44,"Klima, Wirtschaft, Bildung",FDP
84,35,weiblich,NRW,konservativ,,nie,Bildung,TikTok,2,True,0.35,"Klima, Sport, Essen",CDU
85,56,weiblich,Bayern,konservativ,SPD,immer,Klima,TikTok,8,True,0.6,"Wirtschaft, Politik, Bildung",FDP
86,22,weiblich,Sachsen,konservativ,AfD,immer,Sicherheit,Spiegel,0,True,0.32,"Sport, Politik, Bildung",CDU
87,64,weiblich,Sachsen,liberal,Grüne,immer,Migration,Telegram,10,False,0.16,"Technologie, Reisen, Bildung",FDP
88,58,männlich,Bayern,zentristisch,SPD,immer,Sicherheit,FAZ,7,False,0.41,"Technologie, Essen, Wirtschaft",SPD
89,63,weiblich,NRW,zentristisch,,nie,Gesundheit,Spiegel,9,True,0.39,"Musik, Klima, Reisen",FDP
90,61,weiblich,Bayern,konservativ,CDU,immer,Sicherheit,Tagesschau,9,True,0.42,"Essen, Musik, Sport",CDU
91,20,weiblich,Berlin,konservativ,AfD,immer,Klima,Spiegel,9,True,0.29,"Bildung, Wirtschaft, Technologie",CDU
92,41,weiblich,Bayern,konservativ,Grüne,immer,Klima,TikTok,6,True,0.12,"Wirtschaft, Klima, Sport",AfD
93,29,männlich,Berlin,liberal,SPD,immer,Migration,Tagesschau,1,True,1.0,"Wirtschaft, Politik, Reisen",FDP
94,53,männlich,Hessen,zentristisch,,nie,Steuern,FAZ,8,False,0.08,"Bildung, Reisen, Klima",CDU
95,71,männlich,Hamburg,liberal,AfD,gelegentlich,Steuern,YouTube,6,True,0.98,"Sport, Musik, Wirtschaft",FDP
96,60,männlich,Bayern,konservativ,SPD,gelegentlich,Sicherheit,TikTok,2,False,0.06,"Reisen, Wirtschaft, Essen",AfD
97,49,weiblich,Berlin,liberal,CDU,immer,Klima,FAZ,9,False,0.26,"Sport, Reisen, Politik",FDP
98,23,weiblich,NRW,zentristisch,,nie,Steuern,Tagesschau,3,True,0.07,"Wirtschaft, Bildung, Politik",FDP
99,56,männlich,Hessen,zentristisch,,nie,Bildung,Tagesschau,0,False,0.17,"Wirtschaft, Essen, Sport",SPD
100,48,männlich,Berlin,konservativ,,nie,Steuern,Facebook-Gruppen,9,False,0.61,"Sport, Technologie, Essen",AfD
101,20,männlich,Hessen,konservativ,CDU,gelegentlich,Bildung,YouTube,8,True,0.71,"Sport, Wirtschaft, Reisen",AfD
102,23,männlich,Hamburg,zentristisch,Grüne,gelegentlich,Steuern,FAZ,5,False,0.13,"Politik, Technologie, Wirtschaft",FDP
103,22,weiblich,Hamburg,konservativ,CDU,immer,Klima,Tagesschau,6,False,0.08,"Sport, Bildung, Klima",FDP
104,66,männlich,NRW,zentristisch,SPD,immer,Steuern,TikTok,10,True,0.38,"Klima, Technologie, Essen",SPD
105,63,weiblich,Hamburg,liberal,,nie,Klima,YouTube,9,True,0.29,"Sport, Technologie, Bildung",SPD
106,43,weiblich,Sachsen,liberal,SPD,immer,Gesundheit,Tagesschau,4,True,0.61,"Technologie, Politik, Essen",SPD
107,68,weiblich,Hamburg,zentristisch,,nie,Steuern,Tagesschau,6,False,0.16,"Reisen, Essen, Politik",FDP
108,27,männlich,Hamburg,konservativ,,nie,Migration,YouTube,5,False,0.32,"Politik, Technologie, Reisen",AfD
109,41,weiblich,Bayern,liberal,,nie,Migration,Telegram,5,False,0.37,"Technologie, Sport, Klima",Grüne
110,45,weiblich,Berlin,konservativ,,nie,Steuern,YouTube,7,False,0.2,"Essen, Musik, Bildung",CDU
111,51,männlich,Hamburg,zentristisch,AfD,immer,Bildung,Facebook-Gruppen,10,True,0.4,"Reisen, Wirtschaft, Technologie",SPD
112,19,weiblich,Bayern,liberal,CDU,immer,Steuern,Spiegel,6,False,0.9,"Technologie, Wirtschaft, Politik",FDP
113,74,weiblich,NRW,progressiv,,nie,Gesundheit,Tagesschau,3,False,0.57,"Wirtschaft, Reisen, Bildung",SPD
114,60,männlich,Berlin,progressiv,Grüne,immer,Gesundheit,Facebook-Gruppen,5,False,0.22,"Wirtschaft, Essen, Sport",Grüne
115,63,männlich,Sachsen,progressiv,Die Linke,gelegentlich,Klima,Telegram,7,True,0.14,"Bildung, Klima, Reisen",Linke
116,60,weiblich,Bayern,konservativ,,nie,Klima,YouTube,10,True,0.31,"Politik, Sport, Klima",AfD
117,52,weiblich,NRW,progressiv,CDU,immer,Migration,Facebook-Gruppen,5,True,0.41,"Sport, Bildung, Wirtschaft",SPD
118,35,weiblich,Sachsen,zentristisch,SPD,immer,Gesundheit,FAZ,4,True,0.47,"Klima, Wirtschaft, Sport",SPD
119,18,weiblich,Berlin,zentristisch,CDU,gelegentlich,Bildung,Spiegel,3,False,0.71,"Politik, Essen, Klima",SPD
120,44,weiblich,Sachsen,zentristisch,CSU,immer,Steuern,FAZ,6,True,0.97,"Technologie, Politik, Essen",CDU
121,54,weiblich,Berlin,konservativ,CDU,gelegentlich,Bildung,Tagesschau,6,False,0.43,"Technologie, Politik, Essen",FDP
122,56,weiblich,Sachsen,progressiv,CDU,immer,Migration,Spiegel,7,True,0.17,"Klima, Bildung, Technologie",Grüne
123,30,männlich,Bayern,liberal,,nie,Sicherheit,Spiegel,2,True,0.15,"Wirtschaft, Technologie, Bildung",SPD
124,65,männlich,NRW,progressiv,Grüne,immer,Migration,YouTube,3,False,0.59,"Wirtschaft, Sport, Technologie",SPD
125,59,weiblich,Sachsen,progressiv,AfD,immer,Steuern,YouTube,6,True,0.96,"Technologie, Politik, Sport",Grüne
126,57,weiblich,Hessen,zentristisch,CSU,immer,Steuern,TikTok,4,True,0.07,"Wirtschaft, Reisen, Klima",FDP
127,42,männlich,Bayern,liberal,SPD,immer,Klima,Facebook-Gruppen,8,False,0.59,"Reisen, Essen, Klima",FDP
128,59,männlich,Bayern,liberal,,nie,Sicherheit,Spiegel,9,False,0.28,"Bildung, Wirtschaft, Essen",FDP
129,42,männlich,Sachsen,konservativ,SPD,gelegentlich,Steuern,Facebook-Gruppen,6,True,0.71,"Musik, Reisen, Technologie",FDP
130,28,männlich,Sachsen,liberal,,nie,Sicherheit,Facebook-Gruppen,0,False,0.14,"Technologie, Klima, Musik",Grüne
131,67,weiblich,Hessen,progressiv,SPD,immer,Gesundheit,Facebook-Gruppen,3,True,0.08,"Wirtschaft, Klima, Bildung",Linke
132,24,männlich,Hamburg,zentristisch,,nie,Migration,Tagesschau,1,False,0.21,"Sport, Politik, Essen",FDP
