user_id,post_id,like_time,device
345,11,2025-06-04 20:22:27,Smartphone
53,31,2025-06-03 13:41:15,Smartphone
93,49,2025-06-02 16:17:40,Smartphone
247,6,2025-06-01 06:25:14,Desktop
173,10,2025-06-01 00:30:58,Smartphone
29,3,2025-06-03 00:34:39,Desktop
442,25,2025-06-01 19:03:07,Tablet
313,40,2025-06-04 20:47:10,Smartphone
146,37,2025-06-02 14:09:00,Desktop
125,35,2025-06-01 23:31:55,Desktop
44,18,2025-06-03 16:20:49,Smartphone
152,4,2025-06-04 08:20:39,Smartphone
338,39,2025-06-03 14:17:11,Smartphone
116,3,2025-06-04 09:41:16,Smartphone
411,10,2025-06-01 01:24:29,Desktop
435,27,2025-06-01 16:17:34,Tablet
262,13,2025-06-01 10:57:29,Smartphone
114,23,2025-06-01 21:42:27,Smartphone
207,20,2025-06-04 07:27:26,Desktop
476,44,2025-06-01 05:14:49,Smartphone
10,17,2025-06-03 05:46:15,Smartphone
438,41,2025-06-04 12:50:02,Desktop
394,10,2025-06-04 08:28:02,Smartphone
492,41,2025-06-01 21:34:03,Desktop
20,8,2025-06-03 14:35:32,Smartphone
329,37,2025-06-01 18:33:38,Smartphone
415,47,2025-06-01 06:05:30,Smartphone
477,15,2025-06-02 20:53:36,Smartphone
355,40,2025-06-03 05:06:22,Smartphone
479,49,2025-06-01 05:48:36,Smartphone
165,38,2025-06-03 04:06:35,Smartphone
93,7,2025-06-02 06:35:40,Smartphone
459,22,2025-06-02 12:20:25,Smartphone
251,24,2025-06-01 14:58:13,Smartphone
130,9,2025-06-03 03:30:29,Smartphone
306,36,2025-06-04 09:32:20,Desktop
406,10,2025-06-03 11:10:58,Tablet
0,21,2025-06-04 18:23:25,Tablet
470,39,2025-06-01 22:30:30,Smartphone
87,48,2025-06-02 10:28:38,Smartphone
49,2,2025-06-01 23:39:57,Desktop
91,49,2025-06-02 01:47:06,Desktop
274,25,2025-06-03 12:02:41,Smartphone
262,13,2025-06-01 03:36:35,Desktop
262,13,2025-06-02 02:07:16,Desktop
207,36,2025-06-03 00:22:40,Smartphone
487,4,2025-06-03 11:57:36,Smartphone
352,13,2025-06-02 12:08:31,Smartphone
428,12,2025-06-02 14:51:23,Smartphone
151,41,2025-06-01 23:11:05,Smartphone
150,7,2025-06-01 15:44:33,Smartphone
189,47,2025-06-03 07:42:42,Smartphone
299,18,2025-06-01 05:38:22,Smartphone
129,9,2025-06-03 20:32:57,Smartphone
161,21,2025-06-02 08:23:39,Smartphone
499,47,2025-06-02 05:03:53,Desktop
448,49,2025-06-03 19:02:11,Desktop
119,1,2025-06-03 02:55:21,Smartphone
85,18,2025-06-02 20:26:47,Smartphone
475,3,2025-06-02 09:08:45,Smartphone
477,10,2025-06-02 08:27:56,Smartphone
385,16,2025-06-01 03:26:46,Tablet
191,0,2025-06-02 04:07:35,Smartphone
324,29,2025-06-03 10:01:50,Tablet
178,18,2025-06-02 23:48:23,Desktop
44,27,2025-06-02 16:34:28,Smartphone
98,18,2025-06-01 10:06:36,Smartphone
124,26,2025-06-02 16:39:01,Smartphone
334,10,2025-06-03 03:08:21,Smartphone
301,47,2025-06-04 21:25:21,Smartphone
268,1,2025-06-04 02:11:15,Smartphone
336,3,2025-06-03 10:12:26,Smartphone
0,18,2025-06-04 06:05:31,Smartphone
440,40,2025-06-03 00:13:37,Smartphone
13,13,2025-06-01 04:01:10,Smartphone
477,29,2025-06-01 16:47:52,Desktop
48,46,2025-06-02 14:02:31,Smartphone
360,1,2025-06-02 02:00:20,Smartphone
117,40,2025-06-04 12:33:16,Smartphone
491,1,2025-06-02 14:39:40,Smartphone
374,11,2025-06-01 05:34:17,Smartphone
352,1,2025-06-01 15:47:14,Smartphone
101,35,2025-06-04 14:52:55,Smartphone
197,45,2025-06-03 15:17:16,Desktop
429,0,2025-06-03 02:20:39,Smartphone
249,29,2025-06-02 21:40:57,Smartphone
203,10,2025-06-03 15:33:16,Smartphone
149,23,2025-06-04 16:17:08,Desktop
286,33,2025-06-04 02:28:52,Desktop
417,41,2025-06-01 16:50:31,Desktop
105,34,2025-06-03 08:05:53,Desktop
433,43,2025-06-04 11:58:18,Smartphone
226,49,2025-06-02 03:40:56,Smartphone
364,20,2025-06-02 13:05:47,Smartphone
90,11,2025-06-01 06:27:51,Smartphone
165,10,2025-06-03 15:30:19,Smartphone
299,2,2025-06-01 00:14:46,Smartphone
294,7,2025-06-04 03:43:07,Smartphone
101,30,2025-06-04 06:25:03,Smartphone
183,30,2025-06-02 04:41:43,Smartphone
415,41,2025-06-03 05:02:36,Smartphone
181,15,2025-06-03 14:48:44,Smartphone
23,28,2025-06-01 10:11:26,Smartphone
456,3,2025-06-03 00:05:19,Smartphone
9,2,2025-06-04 18:45:12,Smartphone
46,5,2025-06-02 21:43:02,Desktop
93,5,2025-06-01 18:08:59,Tablet
110,12,2025-06-02 19:44:15,Desktop
333,46,2025-06-04 01:51:18,Smartphone
20,4,2025-06-02 21:02:34,Smartphone
372,12,2025-06-03 11:28:35,Smartphone
160,20,2025-06-02 23:30:13,Smartphone
495,7,2025-06-03 10:36:13,Desktop
151,26,2025-06-02 19:03:28,Desktop
119,20,2025-06-04 08:44:31,Desktop
235,31,2025-06-01 18:32:15,Desktop
211,36,2025-06-02 03:56:19,Smartphone
178,30,2025-06-03 13:13:54,Smartphone
302,25,2025-06-03 07:13:01,Smartphone
112,30,2025-06-02 01:20:40,Desktop
240,45,2025-06-04 17:38:27,Desktop
25,46,2025-06-04 10:52:55,Smartphone
180,34,2025-06-02 19:49:44,Smartphone
121,29,2025-06-03 11:08:20,Smartphone
304,43,2025-06-04 07:47:56,Smartphone
28,11,2025-06-01 00:03:32,Desktop
376,45,2025-06-02 20:15:17,Tablet
236,9,2025-06-02 17:47:05,Smartphone
432,30,2025-06-02 06:36:36,Smartphone
411,23,2025-06-03 14:36:25,Desktop
384,49,2025-06-04 12:27:59,Smartphone
65,26,2025-06-04 16:21:05,Tablet
116,35,2025-06-04 23:20:54,Smartphone
233,27,2025-06-02 22:55:51,Desktop
470,5,2025-06-03 19:43:07,Desktop
414,45,2025-06-03 16:20:23,Smartphone
128,28,2025-06-03 16:23:39,Desktop
339,47,2025-06-02 07:07:21,Smartphone
410,48,2025-06-04 02:26:42,Smartphone
126,1,2025-06-03 20:54:45,Smartphone
240,42,2025-06-02 00:42:47,Tablet
55,45,2025-06-04 23:57:07,Tablet
59,15,2025-06-01 12:20:57,Smartphone
209,10,2025-06-02 17:19:45,Smartphone
23,12,2025-06-04 03:04:05,Smartphone
236,7,2025-06-04 20:10:43,Desktop
144,30,2025-06-04 18:11:11,Smartphone
480,35,2025-06-03 00:48:55,Smartphone
45,40,2025-06-01 13:36:01,Smartphone
136,48,2025-06-02 10:12:18,Smartphone
103,9,2025-06-02 21:12:29,Smartphone
295,9,2025-06-02 08:42:56,Smartphone
160,4,2025-06-02 05:00:01,Smartphone
63,20,2025-06-01 21:27:35,Smartphone
174,1,2025-06-01 03:33:25,Smartphone
172,38,2025-06-01 06:43:49,Tablet
439,41,2025-06-02 11:39:28,Tablet
261,46,2025-06-03 21:11:48,Smartphone
228,4,2025-06-04 17:01:23,Smartphone
333,23,2025-06-01 10:36:22,Smartphone
293,14,2025-06-03 18:19:29,Smartphone
283,8,2025-06-03 12:21:26,Smartphone
268,47,2025-06-04 19:42:58,Desktop
488,48,2025-06-04 11:50:17,Smartphone
178,32,2025-06-02 04:19:00,Desktop
434,31,2025-06-03 07:55:15,Smartphone
475,30,2025-06-03 23:59:56,Smartphone
388,6,2025-06-03 10:12:13,Smartphone
416,2,2025-06-02 11:31:58,Smartphone
343,18,2025-06-01 21:29:29,Smartphone
27,39,2025-06-04 23:32:43,Smartphone
404,49,2025-06-01 00:48:27,Smartphone
368,42,2025-06-01 15:31:22,Smartphone
422,49,2025-06-03 13:54:59,Desktop
381,26,2025-06-02 07:52:15,Smartphone
78,25,2025-06-02 01:36:55,Smartphone
166,23,2025-06-04 03:25:59,Smartphone
100,26,2025-06-03 19:39:17,Smartphone
436,41,2025-06-01 07:18:48,Smartphone
291,40,2025-06-04 09:10:41,Smartphone
242,2,2025-06-02 12:17:31,Smartphone
449,32,2025-06-01 17:40:26,Smartphone
443,12,2025-06-03 18:28:37,Smartphone
348,28,2025-06-01 19:25:08,Tablet
249,31,2025-06-03 19:40:06,Smartphone
358,28,2025-06-04 05:21:06,Smartphone
88,43,2025-06-04 09:23:57,Tablet
130,20,2025-06-04 14:43:08,Smartphone
263,3,2025-06-02 22:12:35,Smartphone
419,27,2025-06-03 16:27:15,Smartphone
86,4,2025-06-04 17:13:26,Desktop
208,6,2025-06-04 01:30:49,Smartphone
142,35,2025-06-03 14:08:55,Tablet
321,38,2025-06-04 07:47:22,Desktop
95,28,2025-06-03 16:56:27,Smartphone
392,3,2025-06-01 23:10:44,Smartphone
304,41,2025-06-03 21:07:46,Smartphone
33,23,2025-06-03 17:32:46,Smartphone
52,14,2025-06-02 13:44:51,Smartphone
381,4,2025-06-02 12:00:24,Desktop
